"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight"
"1","GTR","relaxed_log_normal","birth_death",-8206.23537337901,5.68335453311583,0.00000000114268486511352
"2","GTR","relaxed_log_normal","coalescent_bayesian_skyline",-8232.46397441497,7.51628196912521,4.64504341210373e-21
"3","GTR","relaxed_log_normal","coalescent_constant_population",-8204.56417272144,5.8270408476915,0.00000000607742627186657
"4","GTR","relaxed_log_normal","coalescent_exp_population",-8197.6263559382,4.56660052931806,0.00000626289663958986
"5","GTR","relaxed_log_normal","yule",-8254.68373989878,5.58098435690195,1.04008357586989e-30
"6","GTR","strict","birth_death",-8212.39219728094,5.661898344641,2.42131798856541e-12
"7","GTR","strict","coalescent_bayesian_skyline",-8209.56407720293,4.91711736271014,4.09532877205773e-11
"8","GTR","strict","coalescent_constant_population",-8249.98715564479,5.48010303576485,1.13964309558475e-28
"9","GTR","strict","coalescent_exp_population",-8247.16999318608,5.09859315895302,1.90654462167092e-27
"10","GTR","strict","yule",-8249.39415499185,5.40964848346025,2.06208125818551e-28
"11","HKY","relaxed_log_normal","birth_death",-8201.48139733844,4.44162504638239,0.000000132602599124633
"12","HKY","relaxed_log_normal","coalescent_bayesian_skyline",-8206.816647217,5.22355082255367,0.000000000638972922850896
"13","HKY","relaxed_log_normal","coalescent_constant_population",-8282.82783882021,5.63536455846269,6.22646252688908e-43
"14","HKY","relaxed_log_normal","coalescent_exp_population",-8197.28762532566,4.31119768414445,0.00000878787923684669
"15","HKY","relaxed_log_normal","yule",-8203.33418851244,5.03597360914678,0.0000000207919419377027
"16","HKY","strict","birth_death",-8204.29895953732,4.75347451105518,0.00000000792319457498106
"17","HKY","strict","coalescent_bayesian_skyline",-8209.93693543957,5.60148200687945,2.82071038743615e-11
"18","HKY","strict","coalescent_constant_population",-8194.92815988209,5.34114449705044,0.0000930222634257296
"19","HKY","strict","coalescent_exp_population",-8198.86736153846,4.78405404003683,0.00000181056182886428
"20","HKY","strict","yule",-8195.46585135318,4.78970490814481,0.0000543338480324686
"21","JC69","relaxed_log_normal","birth_death",-8198.20721161547,5.47418332764907,0.00000350358637621688
"22","JC69","relaxed_log_normal","coalescent_bayesian_skyline",-8203.65021395642,5.15560074811908,0.0000000151581760677982
"23","JC69","relaxed_log_normal","coalescent_constant_population",-8200.90052099167,4.94099942687927,0.000000237040977153484
"24","JC69","relaxed_log_normal","coalescent_exp_population",-8191.49234030295,3.11189042518564,0.002888979011048
"25","JC69","relaxed_log_normal","yule",-8187.04969246092,2.66433784812953,0.245562377474223
"26","JC69","strict","birth_death",-8192.74884943342,3.96693160454675,0.000822336192574256
"27","JC69","strict","coalescent_bayesian_skyline",-8207.74086869808,5.4657673829716,0.000000000253570172201674
"28","JC69","strict","coalescent_constant_population",-8196.52705980798,4.69350554679229,0.0000188015427997043
"29","JC69","strict","coalescent_exp_population",-8185.93269851571,2.49560804156245,0.750353886245173
"30","TN93","relaxed_log_normal","birth_death",-8209.15996826228,5.69895724301071,6.13466787718942e-11
"31","TN93","relaxed_log_normal","coalescent_bayesian_skyline",-8197.21149948781,4.90293508297872,0.00000948298604630014
"32","TN93","relaxed_log_normal","coalescent_constant_population",-8196.88379866073,4.72650956311931,0.0000131602388777434
"33","TN93","relaxed_log_normal","coalescent_exp_population",-8196.14262313494,3.88579909791819,0.000027615455650399
"34","TN93","relaxed_log_normal","yule",-8197.60895774669,5.00277250997628,0.0000063728131160526
"35","TN93","strict","birth_death",-8198.40586284049,4.66577436633998,0.000002872365475454
"36","TN93","strict","coalescent_bayesian_skyline",-8199.31519920145,4.28478007955057,0.00000115696423606096
"37","TN93","strict","coalescent_constant_population",-8245.11575931995,5.03840447446965,1.48726859239587e-26
"38","TN93","strict","coalescent_exp_population",-8194.63502549745,4.91353366617169,0.000124707780042243
"39","TN93","strict","yule",-8201.68539459111,4.89440655189882,0.000000108132726983748
