Sample	posterior	ESS(posterior)	likelihood	prior
0	-8893.170230043112	N	-8869.075396861419	-24.094833181693172
1000	-8218.209041722386	2.0	-8202.866168004402	-15.342873717983256
2000	-8217.134077102075	3.0	-8204.058175848097	-13.075901253978822
3000	-8210.895872008365	4.0	-8199.287450169324	-11.608421839039991
4000	-8210.756283864539	5.0	-8199.860373733563	-10.895910130974729
5000	-8215.222204917916	6.0	-8206.040905912934	-9.181299004981181
6000	-8221.60495258993	7.0	-8211.421327506698	-10.183625083233537
7000	-8211.4600080414	8.0	-8201.608080858708	-9.85192718269248
8000	-8214.65614526214	9.0	-8203.062369750567	-11.593775511573703
9000	-8212.24335632243	9.0	-8200.617109195828	-11.626247126601815
10000	-8209.79842943529	10.0	-8199.137233430254	-10.66119600503566
11000	-8215.418962353446	11.0	-8205.207912093856	-10.211050259589793
12000	-8209.658305198851	12.0	-8200.497569738498	-9.160735460353306
13000	-8209.75884815029	13.0	-8199.738441927042	-10.020406223248017
14000	-8212.107681177687	14.0	-8202.04696873629	-10.0607124413979
15000	-8211.592144365912	15.0	-8201.299630816759	-10.292513549153123
16000	-8211.910772529913	16.0	-8200.629449640903	-11.281322889009623
17000	-8210.306015413536	17.0	-8199.590367048044	-10.71564836549181
18000	-8213.57718173439	18.0	-8202.530818328185	-11.046363406204547
19000	-8210.643571855486	18.0	-8199.229524394585	-11.4140474609004
20000	-8215.041607980615	19.0	-8202.641642459745	-12.399965520869229
21000	-8215.492442148994	20.0	-8202.89791180506	-12.594530343934258
22000	-8218.975433867505	15.9	-8207.798542402297	-11.17689146520683
23000	-8214.673013418196	15.3	-8204.94181483355	-9.73119858464554
24000	-8212.489585552154	17.3	-8201.670572936982	-10.819012615171761
25000	-8212.039296711315	19.9	-8201.770910584764	-10.268386126549924
26000	-8214.631452011125	19.4	-8203.190555785293	-11.440896225831827
27000	-8213.214541072377	20.2	-8203.159324500615	-10.055216571762251
28000	-8212.825763746167	21.0	-8203.300648616787	-9.525115129378788
29000	-8218.15452629299	20.8	-8208.868906865415	-9.285619427574714
30000	-8210.393166474523	23.8	-8202.649055502256	-7.744110972267643
31000	-8214.702069472643	24.1	-8203.91427236786	-10.787797104783191
32000	-8211.632802738559	24.5	-8202.28209155047	-9.350711188087544
33000	-8211.935224935114	25.3	-8202.444274955738	-9.490949979375468
34000	-8212.30516953178	25.7	-8198.72571314239	-13.579456389390325
35000	-8217.334484992129	28.7	-8204.955239060004	-12.379245932125349
36000	-8213.631140938704	29.3	-8203.704297210666	-9.926843728037491
37000	-8214.862835986778	28.8	-8205.103402201838	-9.759433784941109
38000	-8210.466929047852	30.8	-8201.157553901094	-9.30937514675856
39000	-8215.98472790829	32.0	-8205.334619511414	-10.650108396875904
40000	-8215.469705115172	33.1	-8203.938913536733	-11.530791578439839
41000	-8212.666534469447	34.9	-8200.36365319576	-12.302881273686955
42000	-8217.501657310655	34.8	-8204.477972943681	-13.023684366972866
43000	-8217.849347835592	30.4	-8204.656110768516	-13.193237067076298
44000	-8209.507208270099	41.0	-8199.164268493707	-10.34293977639254
45000	-8217.063162855246	42.0	-8204.946281021352	-12.116881833894126
46000	-8215.451363332404	43.0	-8203.369541292688	-12.08182203971657
47000	-8211.403702061976	44.0	-8201.452500848161	-9.951201213814997
48000	-8212.668892923895	45.0	-8203.90693083712	-8.761962086775132
49000	-8215.15704207883	35.8	-8202.11372578994	-13.043316288890246
50000	-8209.642570427497	36.9	-8198.517879854038	-11.124690573458171
51000	-8211.949894250627	37.7	-8201.905357560601	-10.04453669002603
52000	-8213.272100584374	38.3	-8202.193251538718	-11.078849045655275
53000	-8213.724755953745	39.2	-8200.80804115464	-12.916714799104765
54000	-8213.371396999306	39.8	-8203.180392754983	-10.191004244323898
55000	-8215.51554585591	41.3	-8201.6630987476	-13.852447108309175
56000	-8217.50246922374	40.9	-8204.680801915614	-12.821667308125674
57000	-8218.203373537935	37.7	-8203.354329103428	-14.849044434508773
58000	-8217.947256705262	33.6	-8201.5364315344	-16.410825170862473
59000	-8217.278602287946	29.9	-8201.79278311302	-15.485819174925737
60000	-8219.13216820424	25.5	-8204.520911936786	-14.6112562674538
61000	-8216.737993180548	23.7	-8204.283441750644	-12.454551429904608
62000	-8217.41651190608	21.4	-8205.435499084431	-11.981012821648303
63000	-8215.57587518028	20.6	-8205.67363750473	-9.902237675551266
64000	-8216.145511472578	19.8	-8202.61613107642	-13.529380396158382
65000	-8212.914264111596	20.9	-8203.424574016777	-9.489690094819519
66000	-8211.563322558739	22.7	-8201.673401881655	-9.889920677084124
67000	-8212.18894533999	23.6	-8202.820122220111	-9.368823119879522
68000	-8217.546383137902	24.1	-8207.450689572472	-10.095693565431228
69000	-8211.2780392755	19.9	-8202.403896746753	-8.874142528746638
70000	-8209.440437922247	20.5	-8199.345585897185	-10.094852025062922
71000	-8213.27935903907	20.7	-8202.237562695991	-11.041796343079625
72000	-8216.00245266447	21.7	-8204.15690845722	-11.845544207249263
73000	-8215.386429978516	22.3	-8204.9233117461	-10.463118232416154
74000	-8212.895561164505	22.7	-8203.224627736412	-9.670933428093505
75000	-8212.544817172686	22.8	-8203.778806926653	-8.766010246031875
76000	-8211.17771486086	23.0	-8201.142389441691	-10.035325419168414
77000	-8211.207312581468	23.4	-8201.77224686752	-9.435065713946733
78000	-8211.311057290528	23.6	-8202.664086916326	-8.646970374201656
79000	-8211.690698936092	23.8	-8202.919067681612	-8.771631254480077
80000	-8211.47148192619	23.4	-8201.392876985947	-10.078604940242721
81000	-8218.82908779527	27.1	-8208.314649560245	-10.51443823502455
82000	-8213.838194866195	27.4	-8203.258287134879	-10.579907731317292
83000	-8211.005495251686	27.5	-8200.42985291229	-10.575642339396373
84000	-8213.644495460916	27.9	-8198.885546988266	-14.758948472651145
85000	-8216.848649562548	28.9	-8204.707944451917	-12.140705110630515
86000	-8213.05663683185	29.3	-8203.632748679067	-9.423888152783931
87000	-8213.564899637582	29.8	-8201.308598579853	-12.256301057729031
88000	-8216.771660156788	30.3	-8202.517335288361	-14.254324868426698
89000	-8215.497929855395	29.8	-8203.130821261539	-12.367108593857076
90000	-8214.819943283648	30.1	-8203.052795087264	-11.767148196384383
91000	-8210.206059187425	31.7	-8198.903561771847	-11.302497415577461
92000	-8215.2159252449	32.0	-8202.029381227732	-13.186544017167588
93000	-8212.598021500306	32.5	-8200.222477051431	-12.375544448874695
94000	-8213.64693350972	32.8	-8200.669068231808	-12.977865277913688
95000	-8215.843221880825	33.7	-8204.037805192636	-11.805416688188496
96000	-8210.437233717712	34.8	-8201.675113653842	-8.762120063870004
97000	-8210.407522251066	34.9	-8202.237095748289	-8.170426502776213
98000	-8212.117883446062	35.0	-8203.319507121954	-8.798376324107933
99000	-8214.766942308765	36.3	-8204.856306683821	-9.910635624942637
100000	-8213.798427761918	36.8	-8203.252319561676	-10.546108200241557
101000	-8213.667284618468	37.2	-8205.32778261458	-8.339502003887642
102000	-8211.202112089755	36.8	-8200.286150429687	-10.91596166006893
103000	-8220.499211818727	40.4	-8206.837264139294	-13.661947679432206
104000	-8215.932588839038	40.5	-8204.30731935362	-11.625269485417295
105000	-8212.383765214689	41.5	-8201.43776196905	-10.946003245639472
106000	-8213.629163002324	42.0	-8202.879502873786	-10.749660128538032
107000	-8210.023721766995	44.5	-8202.50608244617	-7.517639320823167
108000	-8211.074662779545	44.7	-8202.82750154777	-8.24716123177563
109000	-8211.705973352828	45.3	-8201.79446741585	-9.911505936978088
110000	-8213.971348115523	45.9	-8200.760682660553	-13.210665454969337
111000	-8215.590091660126	47.5	-8202.02239749098	-13.567694169145817
112000	-8215.875999231772	48.6	-8201.922833257857	-13.953165973915759
113000	-8214.457616482	49.0	-8200.298103088193	-14.159513393805712
114000	-8218.261704975555	48.8	-8206.272259452395	-11.98944552316101
115000	-8214.491651423197	48.9	-8201.89331767828	-12.598333744918211
116000	-8218.854264256062	47.9	-8203.829230502804	-15.025033753258095
117000	-8213.868124683508	48.4	-8200.99276978317	-12.875354900337904
118000	-8214.6093929222	48.4	-8202.010740744427	-12.598652177774065
119000	-8220.22583218557	46.5	-8206.16976112948	-14.05607105608897
120000	-8215.668503892432	46.0	-8200.493061786688	-15.175442105743523
121000	-8216.46503321958	45.6	-8201.523036170938	-14.941997048642035
122000	-8218.17181184751	44.4	-8202.05121002713	-16.120601820378866
123000	-8217.695975483395	43.0	-8202.775941755921	-14.920033727474454
124000	-8212.325952745361	44.3	-8204.840859779257	-7.485092966103523
125000	-8214.611790884086	44.5	-8204.3089596497	-10.302831234386382
126000	-8215.27742380545	44.6	-8202.403392028611	-12.874031776839576
127000	-8221.59627309027	44.1	-8205.275617857438	-16.32065523283192
128000	-8217.349169934922	42.5	-8202.230956416694	-15.11821351822814
129000	-8219.313710724808	42.0	-8201.039380360553	-18.274330364254183
130000	-8217.561201385015	40.2	-8199.845519655284	-17.71568172973099
131000	-8217.602178961779	38.7	-8201.11546519777	-16.486713764008986
132000	-8216.616883820076	37.8	-8202.34033889534	-14.276544924736639
133000	-8216.647086924037	36.8	-8202.725140193103	-13.921946730933167
134000	-8216.425167530982	35.8	-8202.634919574575	-13.790247956406866
135000	-8216.25118802358	34.9	-8205.637961460243	-10.613226563336122
136000	-8213.661202618272	35.6	-8204.036514472096	-9.624688146176139
137000	-8215.77666794699	35.4	-8203.37445031013	-12.402217636860621
138000	-8212.684719261912	36.3	-8201.449928499056	-11.234790762855424
139000	-8213.652877568453	37.6	-8203.546311893411	-10.106565675042063
140000	-8212.773906850394	38.2	-8202.159363825043	-10.614543025351447
141000	-8211.637037214814	38.9	-8202.139328413057	-9.497708801757126
142000	-8215.2214353819	39.3	-8206.767433840065	-8.45400154183532
143000	-8215.955034632098	39.9	-8207.891092153768	-8.063942478329356
144000	-8212.872375718789	40.1	-8203.222129032	-9.65024668679052
145000	-8214.962258244424	40.5	-8204.274605042527	-10.687653201898442
146000	-8216.785130584989	41.4	-8205.608646971426	-11.176483613562967
147000	-8211.267998244679	41.8	-8202.245804122686	-9.022194121993731
148000	-8216.666161794767	42.6	-8203.679469135423	-12.986692659343506
149000	-8216.389994394036	43.1	-8202.888376815788	-13.501617578247814
150000	-8211.993990326833	43.9	-8199.22765856924	-12.766331757593921
151000	-8213.47753577081	44.3	-8199.625870213391	-13.851665557419311
152000	-8213.49458685905	44.6	-8202.760724610862	-10.733862248187966
153000	-8213.418831182096	45.0	-8198.281610138984	-15.137221043112627
154000	-8215.285346569466	45.4	-8203.640091438316	-11.645255131150511
155000	-8217.146082893452	46.3	-8205.915973096004	-11.230109797448092
156000	-8213.50974674524	46.7	-8202.14468644466	-11.365060300578957
157000	-8214.432024137712	47.1	-8201.967557107078	-12.4644670306339
158000	-8222.30993464586	50.2	-8205.65777019513	-16.652164450729398
159000	-8218.883655368807	50.0	-8205.84605486349	-13.037600505317545
160000	-8216.576588859118	49.6	-8203.45782745101	-13.118761408108824
161000	-8220.264801830108	48.1	-8205.34209698666	-14.9227048434482
162000	-8220.164163005316	45.8	-8204.538060007217	-15.626102998098771
163000	-8217.845507188922	44.2	-8203.880886417413	-13.964620771508857
164000	-8216.700476352873	43.2	-8201.945786193553	-14.754690159320452
165000	-8215.121738856596	43.2	-8201.985073114583	-13.136665742012665
166000	-8214.295643964446	43.7	-8200.977726680803	-13.317917283641952
167000	-8215.118303434303	43.8	-8202.209649927121	-12.908653507182274
168000	-8214.024648812449	44.4	-8201.561241486364	-12.463407326083159
169000	-8211.58842452035	46.0	-8200.385870846223	-11.202553674127396
170000	-8211.329552150317	47.1	-8201.657204889307	-9.672347261010998
171000	-8213.13728737166	47.3	-8202.871724610626	-10.265562761032562
172000	-8212.807343852484	47.3	-8202.24035658697	-10.566987265514912
173000	-8210.881870191624	47.0	-8200.507698679541	-10.374171512082977
174000	-8213.317789797127	46.9	-8202.82774351319	-10.490046283937211
175000	-8208.98668034273	46.1	-8197.96473836511	-11.02194197761985
176000	-8213.597391578965	46.1	-8201.086232252486	-12.511159326479284
177000	-8215.726698386463	46.8	-8201.011370990553	-14.715327395910212
178000	-8211.519085061695	46.5	-8199.213802510212	-12.305282551482174
179000	-8219.618902072525	48.3	-8204.386924712135	-15.23197736039121
180000	-8215.147548023297	48.7	-8202.538504391096	-12.60904363220101
181000	-8215.272308495925	49.0	-8202.08873022508	-13.183578270846283
182000	-8213.210316626315	49.5	-8202.280515834978	-10.929800791336557
183000	-8215.240915986335	49.8	-8205.366422494631	-9.874493491702845
184000	-8212.162584354062	50.4	-8202.869149933145	-9.293434420917308
185000	-8213.664180531121	50.8	-8204.06570451069	-9.598476020432365
186000	-8219.146438380461	52.1	-8206.488300499655	-12.658137880806088
187000	-8216.215140836955	52.4	-8203.252532498122	-12.962608338833022
188000	-8212.394444324726	53.0	-8202.980827419655	-9.41361690507141
189000	-8212.30167027056	53.2	-8202.71974800781	-9.581922262750634
190000	-8209.476918536006	54.0	-8200.112050258023	-9.36486827798127
191000	-8210.124086668007	54.4	-8202.81687464488	-7.307212023128974
192000	-8215.77862291267	55.1	-8204.46373565842	-11.314887254248982
193000	-8215.723007804563	55.8	-8202.071655341853	-13.651352462708994
194000	-8216.446824678804	56.9	-8205.736250006092	-10.710574672711354
195000	-8214.62944553723	57.2	-8202.160994148893	-12.46845138833615
196000	-8211.733073874673	57.2	-8201.173610293696	-10.559463580977535
197000	-8209.082827005277	56.8	-8200.774025280809	-8.308801724467447
198000	-8211.187318736305	56.3	-8201.183389201697	-10.003929534608009
199000	-8211.566559139512	55.2	-8200.426646744789	-11.139912394722852
200000	-8211.23332054257	55.0	-8199.535645922873	-11.69767461969555
201000	-8215.485092807228	55.7	-8206.895338724953	-8.589754082275386
202000	-8216.395449430014	56.9	-8206.079542320476	-10.315907109538223
203000	-8209.141136478172	56.0	-8199.541499848534	-9.599636629637905
204000	-8212.600000428374	55.4	-8202.803533089746	-9.796467338627878
205000	-8213.54911246187	55.3	-8203.049620446816	-10.499492015052432
206000	-8215.76759493398	56.2	-8205.011573589549	-10.75602134443112
207000	-8220.50614004672	59.1	-8211.256666373209	-9.249473673510932
208000	-8211.561187611302	59.6	-8202.040339198084	-9.520848413218387
209000	-8217.553206423923	59.8	-8205.146399009745	-12.406807414178717
210000	-8211.860268892711	60.5	-8203.18912676509	-8.671142127620541
211000	-8211.579155990066	60.8	-8201.072365707621	-10.506790282445316
212000	-8210.75233103105	61.4	-8199.973475307823	-10.778855723226956
213000	-8212.42769552538	61.8	-8200.235721009782	-12.191974515599465
214000	-8215.872320742044	62.3	-8204.10861091895	-11.7637098230955
215000	-8216.435846830562	62.9	-8202.220391505321	-14.215455325241182
216000	-8216.368053286804	63.7	-8201.144050619983	-15.224002666820946
217000	-8216.56618727411	64.4	-8205.756647514832	-10.809539759277325
218000	-8209.929939968517	64.8	-8198.646385675134	-11.283554293382807
219000	-8210.920023550425	64.6	-8199.505779956768	-11.414243593657153
220000	-8211.5172391584	64.7	-8202.364803364886	-9.152435793514487
221000	-8213.629771026683	64.9	-8203.056688547778	-10.573082478903421
222000	-8213.781870234441	65.2	-8202.719554911257	-11.062315323184608
223000	-8213.229969961854	65.4	-8203.861344410358	-9.368625551496105
224000	-8213.350433906835	65.5	-8203.93550507789	-9.414928828945143
225000	-8210.207000396822	64.9	-8198.937011529608	-11.269988867214042
226000	-8219.548419223109	68.8	-8204.836669027774	-14.711750195334352
227000	-8213.394245779102	68.9	-8201.131316265217	-12.262929513884574
228000	-8213.432133679353	69.0	-8203.10820108574	-10.323932593612733
229000	-8215.141768877887	67.7	-8203.796172541332	-11.345596336556675
230000	-8216.094725089291	68.2	-8206.180856284529	-9.913868804762458
231000	-8213.3844290412	68.6	-8203.197914839746	-10.186514201453964
232000	-8212.26743003865	69.0	-8202.007840568927	-10.25958946972189
233000	-8213.194066469774	69.3	-8203.419902180149	-9.774164289625887
234000	-8212.232701853985	69.9	-8204.086295060875	-8.146406793110062
235000	-8211.653997331608	70.0	-8202.431328840263	-9.222668491346171
236000	-8214.914423902806	70.5	-8201.248310691228	-13.666113211578722
237000	-8211.390531770725	70.5	-8200.63830065597	-10.752231114755876
238000	-8210.003852989259	70.2	-8198.973553590156	-11.030299399102853
239000	-8211.959040732288	69.3	-8201.676461762556	-10.282578969732281
240000	-8215.527554071434	70.2	-8203.359232327168	-12.16832174426672
241000	-8215.37495122919	71.0	-8201.985459900437	-13.389491328753275
242000	-8210.779052519089	70.6	-8199.534293698602	-11.24475882048677
243000	-8212.209254862972	70.3	-8201.744408599201	-10.464846263770914
244000	-8215.311702668985	71.0	-8204.42291047725	-10.888792191735783
245000	-8213.856608862798	71.2	-8202.785907356327	-11.07070150647168
246000	-8213.968676264083	71.4	-8203.406201242366	-10.56247502171672
247000	-8211.121878222613	71.6	-8201.6565744256	-9.465303797013657
248000	-8213.432210213847	71.8	-8200.751338588156	-12.680871625690472
249000	-8210.598398705171	71.6	-8200.854941071819	-9.743457633352984
250000	-8213.116356353443	71.5	-8203.796486309848	-9.319870043595689
251000	-8212.119087056819	71.4	-8203.489584624012	-8.629502432805882
252000	-8217.311816093319	72.9	-8206.892241194593	-10.419574898725424
253000	-8209.571184076613	72.7	-8201.818641236336	-7.75254284027652
254000	-8212.283497831495	72.5	-8203.716898219589	-8.566599611906064
255000	-8217.609981208265	74.5	-8205.52549934907	-12.084481859194518
256000	-8217.993157558098	76.1	-8209.517002957626	-8.476154600471357
257000	-8217.375511459735	77.1	-8209.065852783177	-8.309658676559469
258000	-8215.23267687771	77.3	-8206.407598663329	-8.825078214380415
259000	-8211.869264322706	78.2	-8203.89650386384	-7.972760458865395
260000	-8212.359814247038	79.0	-8203.8129956532	-8.546818593839543
261000	-8215.587186451407	79.3	-8205.575113578112	-10.012072873293704
262000	-8215.715039321969	79.4	-8203.266594012477	-12.448445309491923
263000	-8222.358794379865	79.3	-8205.044235114736	-17.314559265129105
264000	-8216.584308865646	78.8	-8204.637386295097	-11.946922570549381
265000	-8215.28971246924	78.8	-8202.02350858574	-13.266203883501037
266000	-8218.20917982476	78.4	-8202.445376266533	-15.763803558226975
267000	-8222.711789989447	77.5	-8207.678826883137	-15.032963106311028
268000	-8219.701289472885	75.3	-8205.565598262468	-14.135691210416033
269000	-8214.865805603007	74.8	-8201.504282826136	-13.361522776871379
270000	-8215.150105928906	74.6	-8201.998288910996	-13.151817017909154
271000	-8209.721215893424	79.1	-8198.625379915145	-11.095835978278156
272000	-8211.487458264712	81.0	-8202.793260688175	-8.69419757653681
273000	-8212.991615737597	81.9	-8203.584802412046	-9.406813325551948
274000	-8212.71211832654	82.7	-8201.571047859465	-11.141070467075894
275000	-8216.550208299343	82.9	-8205.50929357735	-11.040914721992625
276000	-8215.965641420822	83.4	-8206.244830918678	-9.720810502144538
277000	-8211.706181089616	83.5	-8201.409029230244	-10.297151859371668
278000	-8214.709839450778	84.0	-8205.573469928398	-9.136369522379537
279000	-8212.245795393645	83.7	-8201.883568423698	-10.36222696994603
280000	-8213.585574570208	83.9	-8202.780647927031	-10.804926643176323
281000	-8210.971183532309	84.1	-8200.45350041081	-10.517683121499854
282000	-8211.977820862237	84.2	-8200.374804305755	-11.603016556483155
283000	-8211.638200012823	84.2	-8201.319552868095	-10.318647144728294
284000	-8213.839669792862	84.4	-8201.941681727872	-11.897988064990296
285000	-8215.175575687834	85.1	-8201.287126257706	-13.888449430126943
286000	-8217.166163338225	86.5	-8203.741603891884	-13.424559446341306
287000	-8224.472261129207	92.3	-8211.103785069177	-13.368476060030522
288000	-8215.84064945566	92.5	-8199.575329664323	-16.26531979133741
289000	-8216.994949341193	92.4	-8204.6773068739	-12.317642467293288
290000	-8214.634382207701	92.6	-8202.587884165252	-12.046498042448682
291000	-8216.460093885034	92.1	-8205.582319490028	-10.877774395007668
292000	-8212.553826110041	93.7	-8200.27775369908	-12.276072410962113
293000	-8213.262210290432	94.8	-8202.525095386996	-10.73711490343478
294000	-8216.349098738812	94.2	-8203.651023462224	-12.698075276588964
295000	-8213.17231258824	95.2	-8199.266133601768	-13.906178986472161
296000	-8216.199938442336	95.4	-8204.16119810504	-12.03874033729691
297000	-8214.029376811852	95.8	-8203.806330643243	-10.223046168608377
298000	-8214.09907207234	96.2	-8204.44143031477	-9.657641757570081
299000	-8213.192818178763	94.9	-8201.705916035653	-11.486902143110068
300000	-8215.359166264021	95.3	-8205.803356349168	-9.555809914853779
301000	-8214.114151922493	95.7	-8203.066407761504	-11.04774416098957
302000	-8212.209314297732	96.3	-8203.72383640467	-8.485477893061642
303000	-8214.258672425538	96.6	-8205.321622611302	-8.93704981423625
304000	-8208.054960460298	97.8	-8197.994107643688	-10.060852816610334
305000	-8209.159225934825	97.3	-8199.560454851124	-9.598771083701608
306000	-8211.744488339387	96.7	-8200.63361207575	-11.110876263637259
307000	-8210.406485191685	95.5	-8203.234774620969	-7.171710570715777
308000	-8212.237362214632	94.7	-8202.796652791229	-9.440709423403607
309000	-8216.681705307745	97.0	-8205.197813887353	-11.483891420392062
310000	-8214.895781153036	97.8	-8202.076858192944	-12.818922960092344
311000	-8212.348005763397	97.2	-8203.086330101443	-9.26167566195359
312000	-8210.444158266217	95.7	-8200.131299448965	-10.312858817252128
313000	-8214.999954784063	96.4	-8203.579929618001	-11.420025166062537
314000	-8218.444024792814	98.6	-8205.858051541903	-12.585973250910675
315000	-8218.066731348572	99.9	-8204.13708289454	-13.929648454032682
316000	-8214.233117848227	100.2	-8201.45998697404	-12.773130874188125
317000	-8217.748720096124	100.3	-8202.657872387546	-15.090847708578218
318000	-8214.770792874473	100.6	-8203.49632725523	-11.274465619242369
319000	-8211.44315873806	101.3	-8199.64090061609	-11.802258121969702
320000	-8214.340666852142	101.7	-8204.688547852662	-9.652118999480443
321000	-8211.629474891088	103.1	-8200.860212741865	-10.769262149223282
322000	-8210.506523423895	104.6	-8200.341158703568	-10.165364720327442
323000	-8214.209455361892	105.0	-8204.172077181192	-10.037378180700088
324000	-8212.614405570164	105.1	-8201.006697317394	-11.607708252769697
325000	-8216.820618697739	106.2	-8206.102028172732	-10.718590525006428
326000	-8219.062110556795	108.6	-8205.312180392571	-13.749930164223008
327000	-8217.380101065663	109.7	-8203.002646485656	-14.377454580005807
328000	-8215.600601486334	110.1	-8201.946657291684	-13.653944194650055
329000	-8216.668189753278	110.0	-8202.203838192783	-14.464351560494627
330000	-8214.675042418452	110.3	-8202.43740007604	-12.237642342411993
331000	-8212.312080286092	111.7	-8199.938262319407	-12.37381796668606
332000	-8210.013809370974	114.3	-8199.576139987359	-10.437669383615505
333000	-8212.109654110467	115.5	-8201.963497196151	-10.146156914315757
334000	-8212.292538405358	116.2	-8202.819809414712	-9.472728990646418
335000	-8211.452080095072	116.5	-8201.02544443803	-10.426635657042176
336000	-8215.976084812568	117.5	-8206.34230066707	-9.6337841454991
337000	-8214.136956357564	117.9	-8202.578693483309	-11.558262874254995
338000	-8213.1781194633	117.8	-8201.776090566207	-11.40202889709303
339000	-8212.320853878502	116.9	-8203.281643568185	-9.039210310317317
340000	-8212.6211446637	116.5	-8202.138956025135	-10.482188638564507
341000	-8211.730428613959	116.1	-8203.999422329682	-7.731006284277406
342000	-8209.237658820339	115.3	-8202.586707978598	-6.650950841740243
343000	-8209.965961088545	114.1	-8202.14089464486	-7.825066443684738
344000	-8214.196378594259	114.4	-8205.634479379156	-8.561899215102823
345000	-8217.02837110428	116.7	-8206.31907094195	-10.709300162329274
346000	-8210.622991318236	115.6	-8200.739346431286	-9.883644886950576
347000	-8214.332748562034	116.0	-8205.099279013328	-9.233469548705834
